RMS,MAV,WL,ZC,MDF,MNF,MNP,SSC,IMDF,IMPF,PSD,stft_feature_1,stft_feature_2,stft_feature_3,stft_feature_4,stft_feature_5,stft_feature_6,Label
0.023077419038629685,0.023003303565289932,0.43530862865584946,0,0.0,2.1373818470555794,2.8087229317660237e-06,175,16.059753965518155,18.566226208714937,7.112685603316612e-09,5.453591547974409,1.2775961341092945,5.347225319167764,24.585559772090978,12.345714626435909,24.09476561981558,0
0.023042458781674352,0.02296853994407847,0.42831809146611044,0,0.0,2.2139576692912852,2.800227961850711e-06,170,15.055789532209973,15.689460710137254,6.40790723911052e-09,5.244216661410453,1.1651195053277237,6.311749174896187,22.965025129859413,11.11383745423707,28.173125937421567,0
0.023028488177930434,0.02295540736057553,0.44590034467389245,0,0.0,2.105467919607548,2.7969046468798267e-06,169,14.917267729057983,16.37617781087077,6.624308060767548e-09,5.176281467458244,1.2863223362721483,5.513663691514459,23.295343895613073,12.739147420817284,23.321431801831128,0
0.023000748778312107,0.022930600140906116,0.4412980104624308,0,0.0,2.132681482175217,2.7904232593134558e-06,171,16.025520667761292,17.521143532546574,6.229973183860189e-09,5.517698585627806,1.2530382531503514,5.568065460925373,25.1375924474755,12.305435653294687,24.315754309903344,0
0.023057107575677038,0.02298822426942695,0.462303391652365,0,0.0,2.1708460298721013,2.8042459873453e-06,172,15.374109902043756,16.62511239924504,6.673157276035003e-09,5.171208680908817,1.2747521667405488,5.801726702330748,22.32694165523502,12.788764451215973,25.899503303272038,0
0.023102143389877327,0.0230158388090814,0.4952808202251491,0,0.0,2.2672434559320047,2.8136565131297976e-06,166,15.561563365017232,16.29324666861733,6.4147871219087395e-09,5.641760649196101,1.2408398745043014,5.835405631635128,25.377412644397737,11.886514851619575,25.733060104201606,0
0.023093767690900224,0.023000451461444343,0.4639078111235019,0,0.0,2.275525447952965,2.8109813636564752e-06,159,16.563053802908392,18.752036642914824,8.908809196726627e-09,5.589138886454733,1.2955044856476168,6.001417079016606,25.493315309463256,12.176347713474952,27.293712021967956,0
0.023048409813662848,0.022964389111513953,0.4430163826046287,0,0.0,2.138084185051222,2.8007642435217743e-06,162,16.530629466345562,17.536402900459514,7.255632196948053e-09,5.034090322052586,1.2278876257584352,5.978245242043448,21.686108793609215,12.119603379170654,27.57991334061867,0
0.0230311763796893,0.022935639683222913,0.47784689101329586,0,0.0,2.2246135233286286,2.795542836537433e-06,164,16.355822334212792,18.716636231640216,9.300432480209968e-09,5.440075234542873,1.3809713081256054,5.677549952057956,24.122832562549917,13.311543495453328,26.423826216579705,0
0.023144961146571368,0.023042601914202095,0.48615746766503587,0,0.0,2.3363602629093827,2.8226631948358294e-06,166,16.62559289674278,17.803156356238233,8.943691560395108e-09,6.117557566992983,1.3310663929446116,5.625005641398372,27.019413495458984,13.14089179371032,24.318826502178766,0
