EMG,Label
-0.029452331,0
-0.023745457,0
-0.024081155,0
-0.023745457,0
-0.023577607,0
-0.02307406,0
-0.024081155,0
-0.026263195,0
-0.027773838,0
-0.026095346,0
-0.024081155,0
-0.023409758,0
-0.024081155,0
-0.024920401,0
-0.023577607,0
-0.022738361,0
-0.024584703,0
-0.02743814,0
-0.028445235,0
-0.026263195,0
-0.023409758,0
-0.02307406,0
-0.024081155,0
-0.024081155,0
-0.022738361,0
-0.022234813,0
-0.021899115,0
-0.021899115,0
-0.024081155,0
-0.025423949,0
-0.0252561,0
-0.025088251,0
-0.026766743,0
-0.028109537,0
-0.027102441,0
-0.026431044,0
-0.027102441,0
-0.027941688,0
-0.028445235,0
-0.029116632,0
-0.029116632,0
-0.029116632,0
-0.026766743,0
-0.025423949,0
-0.026095346,0
-0.025591798,0
-0.025759648,0
-0.026095346,0
-0.026431044,0
-0.026095346,0
-0.025927497,0
-0.024752552,0
-0.025088251,0
-0.025423949,0
-0.024752552,0
-0.02307406,0
-0.022066964,0
-0.022066964,0
-0.02307406,0
-0.024752552,0
-0.026431044,0
-0.027941688,0
-0.02743814,0
-0.026095346,0
-0.025423949,0
-0.024752552,0
-0.023409758,0
-0.023409758,0
-0.024752552,0
-0.026095346,0
-0.026766743,0
-0.026431044,0
-0.025591798,0
-0.024249004,0
-0.024584703,0
-0.027102441,0
-0.028780934,0
-0.028948783,0
-0.028109537,0
-0.027605989,0
-0.027773838,0
-0.027941688,0
-0.027102441,0
-0.028109537,0
-0.030123728,0
-0.030627276,0
-0.02743814,0
-0.024249004,0
-0.024416854,0
-0.026263195,0
-0.027102441,0
-0.02743814,0
-0.027270291,0
-0.027102441,0
-0.02743814,0
-0.025591798,0
-0.022066964,0
-0.02072417,0
-0.021395567,0
-0.022738361,0
-0.02307406,0
-0.02290621,0
-0.023577607,0
-0.024752552,0
-0.025759648,0
-0.024752552,0
-0.02290621,0
-0.023409758,0
-0.024081155,0
-0.024416854,0
-0.025759648,0
-0.027773838,0
-0.028780934,0
-0.02743814,0
-0.025423949,0
